American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK), B07CJCGM1M ,‎Samsonite,NA
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",B09VTDMRY7,"FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002","Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels."
"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag",B078J63VRY,"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590","Well if you are looking for a big bag which is also very Stylish, Durable, Waterproof with a Laptop in built sleeve then your search ends here. Yes you Got it Right!, This F Gear bag has three big compartments to boast of along with a huge horizontal pocket in the front and two bottle holders on both sides of the bag. It has an inbuilt Rain cover neatly tucked away in a concealed pocket along with Reflective Strips and Reflective Printing makes it a natural choice for rainy Season. Support at the base makes it suitable for rough/dirty terrains. Padded Shoulders and Back with Side Compression straps completes the picture. Comes with the F Gear promise for quality."
Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,B08PSX1LN9,AB Amazing Bags,"This Rucksack backpack ensures complete safety to your 17.3 inch laptop with high quality build and a wide range of built-in features, With a Dual Side Pocket In the inside of the bag, featuring protective padding, you can rest assured that the laptop inside it will be well cushioned from any accidents caused when you bump into any surface. As it is made of nylon, can withstand abrasions and is long lasting. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily. A Front Pocket with an Organizer helps you store your small essentials. It also features Reflector Logo, Rain cover and Reflector patch which is highly useful for motorists, cyclists, walking at night. It also features an Earphone Cord Support which very useful for long travelers. The inner material is made of polyester. This backpack is also water-resistant."
"Genie Lily Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.36 litres (19 inch) Black colour",B097JHSJTL,"Safari, Safari Industries(India)Ltd.,302-303,A-Wing,The Qube CTS no-1498,A/2,MV road,Marol, Andheri(E), Mumbai-400059, Maharashtra. Phone Number +919819547085, Email Id : customercare@safari.in","Genie Lily Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.36 litres (19 inch) Black colour"
NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,B0BS6QM2GD,SHABA BAGS,"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes"
Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty, B08X2T2M8G ,"‎Texcoco Enterprises, 9958166528, Texcoco Enterprises, 9958166528",NA
Lenovo 15.6-inch Casual Laptop Briefcase T210,B075Y6Y9H5,"Lenovo, Ferns Icon, Level, 2, Outer Ring Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560156, 1. DONGGUAN NIDAIKE ELECTRONIC TECHNOLOGY CO.,LTD. No.38 Taikang Street,Baihao Village, Houjie Town,Dongguan City,Guangdong Province,China-523957 2. Talent Hill Industrial Co., Ltd. Room 811, 7th Floor, No. 19 East tricy clic North Road , Chao yang District, Beijing, China.",NA
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",B0BTD4FK9G,"EXPERTS, China","A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self"
Genie Flamenco2 Casual Backpacks for Women,B08YF9VHTY,"Safari, 302-303, A Wing, The Qube CTS No.1498, Andheri East, Mumbai, MH-400059, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",NA
Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty), B09CV24TMK ,"‎Texcoco Enterprices, 9958166528, ?Texcoco Enterprices, 9958166528",NA
Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey), B0895ZZHKK ,"‎ASUS, Shanghai Korrun Bag & Luggage Production Co. , Lt d","ASUS BP1504 offers stylish, elegant protection for laptops with displays up to 15.6 inch. Elegant and lightweight Cross-dyed Woven Fabric making for a truly beautiful accessory to any NoteBook laptop."
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,B0BJ32LQ6X,Amazing Bags,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover."
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop, B09W4VMZ79 ,"‎FLAB INTERNATIONAL PRIVATE LIMITED, FLAB INTERNATIONAL PRIVATE LIMITED PLOT NO. 357 E, PACE CITY-2, SEC-37, GURGAON - 122001 (HARYANA) INDIA 91- 9873326777",NA
Gear Cello 26 Ltrs Navy Blue and Beige Casual Backpack (BKPTRMP520522),B00VWM11HQ,"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",NA
Lavie Sport Lino M Duffle Wheeler Bag for Travel | 2 Wheel Luggage Bag | Travel Bag with Adjustable Handle,B0992JCN1W,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",NA
URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,B09NNYCQ1Q,URBAN CARRIER,NA
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,B0C6N3MYL2,Half_Moon,NA
"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue", B07K8KLB3P ,"‎Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039",NA
Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,B09QM9N1B3,Half_Moon,"FEATURES: DURABLE MATERIAL: Made with strong polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, menं and womenं ; COMFY & STURDY: Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers; DURABLE AND LIGHT WEIGHT MATERIAL: Made with strong yet light weight polyester fabric with heavy zippers; INTERNAL ORGANISER: This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items; LOTS OF STORAGE SPACE & POCKETS: One separate Padded laptop compartment. Multiple compartments can store lots of stuff, that too organised."
ZAINTO Unisex Textured Leatherette Stylish 35 Liter Cabin Bags for Travelling in Flight 7kg Latest Travel Textured Leather Duffle Bags for Men and Women (Brown),B09CTY23YG,NA,NA
LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,B0BZW8KW18,"LOOKMUSTER, ABU GROUP OF INDUSTRIES B-3/406 AGAR NAGAR PREM NAGAR-RD KIRARI SULEMAN NAGAR DELHI-110086",NA
Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),B089QB6D7B,"Arctic Fox, Outshiny India Pvt. Ltd., No.17, Ganesh Nagar, 8th B Cross,Narayanappa Layout, Kodigehalli,Bengaluru - 560097.","Introducing Slope Anti-Theft backpack to secure your essentials. A Multi-functional Laptop bag that has feature-rich updates like Anti-theft, mobile charging port, and a new tech-inspired design making it a prefect bag for laptop to organize your electronics and simplify your life on-the-go.."
"EUME Virgo 3 Compartment Office and College Bags, Polyester Casual Daypacks, Laptop Backpacks",B08R563J3T,"Avon Lifestyle Pvt Ltd, Avon Lifestyle Pvt Ltd",NA
"Genie Bliss Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch)",B097JJDZ47,"Safari, Safari Industries(India)Ltd.,302-303,A-Wing,The Qube CTS no-1498,A/2,MV road,Marol, Andheri(E), Mumbai-400059, Maharashtra. Phone Number +919819547085, Email Id : customercare@safari.in","Genie Lily Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch)"
"Genie Heartbeat Backpack for Women 3 compartments, School Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",B097JJFF6Z,"Safari, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059","How do you describe a Perfect School Backpack? Spacious enough to carry all the books, yet Light Weight! Multiple Pockets to segregate all the items and keep it easily accessible. An Organizer to keep your each and every school supplies in an arranged manner. Side Pocket to keep the Water Bottle. Water Resistant exteriors to keep all your worries at bay and lastly, latest and trendy design to keep those ""Cute Bagpack"" compliment coming in! Yes. We have that Perfect Bag for you, in our Genie store. Bringing you a cute, stylish and trendy design, Genie Heartbeat School Bag."
COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Maroon College Bag, B09HX54TGF ,"‎COSMUSBAGS PVT.LTD., 359,Ground Floor Abubakar Chawl Dharavi Main Road, Bagicha Compound, Dharavi Mumbai,400017 Mobile: +91 8767008844",NA
Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack,B07XYTZP4Z,Red Lemon,NA
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,B07M9BRCQ5,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Navy),B0BVRJYD9Q,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com","High Quality large and spacious laptop backpack with 2 compartments and 2 front easy-access pockets. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. It comes with a full sized rain cover."
Aristrocrat Unisex Laptop Bag Grey One Size,B0B5YHC1W5,"VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India'.","Stylish, Secure feature packed Laptop backpack Spacious Compartment Laptop Compatible Front Quick Access Pocket Power Bank Pocket Padded Grab Handle Shoulder strap re-enforcement"
Wildcraft 29.5 Ltrs Green Casual Backpack (11650-Green),B079DV66TY,Wildcraft,"Two compartments for better organisation, quick-grab haul loop, side pocket for carrying a bottle, padded back system for better back support, padded shoulder straps for comfort and ease of carrying."
Aristocrat Unisex Black Oxford Fabric 28.82L Laptop Bags,B09ZV86P4S,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India",2 Main Compartments -Laptop Compatible -Side Fabric Pocket - Shouilder Strap Reinforcement
"EUME Virgo 3 Compartment Office and College Bags, Polyester Casual Daypacks, Laptop Backpacks",B08R563J3T,"Avon Lifestyle Pvt Ltd, Avon Lifestyle Pvt Ltd",NA
COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,B07D1R1K84,"Cosmus, 359,Ground Floor Abubakar Chawl Dharavi Main Road, Bagicha Compound, Dharavi Mumbai,400017 Mobile: +91 8767008844","Cosmus Agility - Must have for travel enthusiast tech savvy guys Cosmus bases on the cutting-edge of fashion trends, pursuing the best quality of bag category and devoting to providing the best product and service to customers. We make every effort to achieve the best in every detail of design, color, material, sewing, sales and service. Over the years we earned customer trust and this entrust us to provide high quality bags.  Backpack style Comfortable back strap system, easy and convenient to load on your back. Shoulder bag style One back pocket for hiding the back straps, A removable Shoulder strap been included, when you use it as a shoulder bag. Messenger bag style One back pocket for hiding the back straps when you use it as a messenger bag."
RIGHTCHOICE Quality Stylish Casual Backpack Daily use Unisex Typography College Bags (Boys and Girls),B07ZVXDHCK,Right Choice,"A stylish bag that always looks as good as you do. Comfortable to carry without compromising on style/fashion. It is designed to be convenient, and has safe storage. Makes a standout addition to your collection"
"LIBRA LED Motorcycle Hard Shell Backpack, Waterproof Backpack with Programmable and Color Screen, DIY Smart LED Display, Travel Backpack, Laptop Bag for Men",B0C944JRPV,NA,"A unique & cool LED dynamic backpack that symbolizes an expression of love & a piece of walking artwork. DIY functions of the LED backpack provides an unique experience to enrich your daily usage The programmable backpack is the perfect match for riders LED Display Comes with an app for DIY LED customization, text & image & GIF can be used in the DIY customization Backpacks' Look The led knight backpack has a stunning appearance design, waterproof material, and smooth graffiti application, making it easy for you to show your personality and live attitude during driving. Large & practical storage The interior of the backpack has a rich storage space design (expandable space), which can easily store your helmet, notebook, books, keys, magazine, clothes and etc., making your travel easy and comfortable. Supported on both IOS/Android,Bluetooth / scan code connection are offered."
"BEAUTY GIRLS By HOTSHOT Girls School Bag (15ltr , Navy Blue, 1565)",B0BFXCHQZ5,"SHRI SALASAR ENTERPRISES, teamhotshot1992@gmail.com",NA
"Tabelito® DELTA Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, (6 Month Warranty)",B0BLK1Z7DQ,"‎Tabelito Trade India, ‎Tabelito Trade India, ‎Tabelito, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala)",NA
"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)",B0C6HZDWRQ,NA,NA
"Genie Heartbeat Backpack for Women 3 compartments, School Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",B097JJFF6Z,"Safari, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059","How do you describe a Perfect School Backpack? Spacious enough to carry all the books, yet Light Weight! Multiple Pockets to segregate all the items and keep it easily accessible. An Organizer to keep your each and every school supplies in an arranged manner. Side Pocket to keep the Water Bottle. Water Resistant exteriors to keep all your worries at bay and lastly, latest and trendy design to keep those ""Cute Bagpack"" compliment coming in! Yes. We have that Perfect Bag for you, in our Genie store. Bringing you a cute, stylish and trendy design, Genie Heartbeat School Bag."
COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Maroon College Bag, B09HX54TGF ,"‎COSMUSBAGS PVT.LTD., 359,Ground Floor Abubakar Chawl Dharavi Main Road, Bagicha Compound, Dharavi Mumbai,400017 Mobile: +91 8767008844",NA
Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack,B07XYTZP4Z,Red Lemon,NA
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,B07M9BRCQ5,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel
COSMUS Atomic Dx 3 Compartment Large Laptop Bag Polyester Laptop Backpack,B077NZJ5XZ,"Cosmus, 359,Ground Floor Abubakar Chawl Dharavi Main Road, Bagicha Compound, Dharavi Mumbai,400017 Landmark Dharavi Jama Masjid (Gujrati Jamat Khana) Mobile: +91 8767008844",NA
"GoTrippin Waist Bags for Men Women- Premium Stitching, Branded Zippers, Waterproof pocket, RFID safe- Large Fanny pack for Hiking Travel Camping Running Sports Outdoors, Money Belt with Adjustable Strap (Polyester,Black)",B088LHS5LP,"Nomadik Soul Private Limited, Nomadik Soul Private Limited, 39, 2ND FLOOR, NGEF LANE, INDIRANAGAR, 1ST STAGE, BANGALORE, BENGALURU URBAN, KARNATAKA,560038, Customer Care Email - support@nomadiksoul.biz, Customer Care Phone - +91 9900256565",NA
Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),B07XXFB9CZ,"Sfane, Sfane Trends","Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India."
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,B07MXL986B,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",NA
Aristocrat Unisex Black Oxford Fabric 28.82L Laptop Bags,B09ZV86P4S,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India",2 Main Compartments -Laptop Compatible -Side Fabric Pocket - Shouilder Strap Reinforcement
"MOKOBARA The Transit Backpack - 30L Premium Nylon 15.6"" Unisex Laptop Bag With Luggage Sleeve",B09V7R98XC,"Designed By Mokobara Lifestyle Private Limited, Bangalore., Designed By Mokobara","The Mokobara Transit Backpack is designed for everyday use and for those short 1-2 day trips. With its minimalistic facia and the 180° clamshell opening, this is definitely another kick- a** backpack from Mokobara. Be it the hidden water bottle/umbrella compartment or the retractable key holder, accessibility has been tremendously evolved. This one is our most functional backpack ever"
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College Bag, B08D7D21FV ,"‎COSMUSBAGS PVT.LTD., COSMUSBAGS PVT.LTD.",NA
"Amazon Basics Sling Bag/Crossbody Bag with Adjustable Strap for Daily and Travel Use, Durable, Water-Resistant, Travel-Friendly (Unisex, Blue)", B0C3RC1ZG2 ,"‎IRIS TECH, IRIS TECH,G-1/G-2, Dharam complex, Phase-1, Opp.Sapna Bar, Anjur Mankoli Road, Bhiwandi-421302","Carry your daily essentials comfortably with this stylish sling bag from Amazon Basics. It contains one main compartment and three zippered pockets to safely store your belongings. It is made from premium, durable, water-resistant nylon, and comes with an adjustable strap and a strong, anti-scratch buckle. This sturdy, lightweight sling bag fits easily into a suitcase or luggage bag, making it the perfect travel accessory and a great gift for your loved ones."
House of Quirk Baby Diaper Bag Maternity Backpack (Blue Elephant Printed), B07QV7SH4S ,‎House of Quirk,NA
Lify Women's Retro Large Size Canvas Shoulder Bag Hobo Crossbody Handbag Casual Tote - 1 Piece,B09JWMLT7K,NA,NA
RIGHTCHOICE Quality Stylish Casual Backpack Daily use Unisex Typography College Bags (Boys and Girls),B07ZVXDHCK,Right Choice,"A stylish bag that always looks as good as you do. Comfortable to carry without compromising on style/fashion. It is designed to be convenient, and has safe storage. Makes a standout addition to your collection"
"Luv Lap LuvLap Baby Breast Milk Storage Bags (Pack of 25), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent", B099ZZ57FT ,‎0 - 5 years,"Baby Breast Milk Storage Bags, BPA Free Disposable Milk Freezer Bags for Breast Feeding (Pack of 25 Bags)"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Black),B09TPY1G1W,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",NA
"Amazon Basics- Laptop Messenger Bag for 13.3-Inch, 14-Inch, 15.6 -Inch Laptop Bag for Men and Women", B09WMQ4Y7H ,"‎Flab internatioanl private limited, FLAB INTERNATIONAL PRIVATE LIMITED , PLOT NO. 357 E, PACE CITY-2, SEC-37, GURGAON - 122001 (HARYANA) INDIA , 91- 9873326777",NA
ZOUK Black Floral Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with double handles - FloMotif,B07NHYLTY7,"Seaturtle Pvt. Ltd. Thakur Compound, 2nd Floor, 3, USV Lane, Deonar, Mumbai, Maharashtra 400088, Sea Turtle Pvt Ltd, Near Kalher Village, Building No 1-6/H No 196/Gala No 1-5, 1st Floor, Shree Arihant Complex, Bhiwandi Road, Kopar, Bhiwandi, Thane, Maharashtra - 421302",NA
Caprese Yondella Women's Sling Bag,B07TZ8R5QN,"VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025, VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025",NA
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop, B09W4VMZ79 ,"‎FLAB INTERNATIONAL PRIVATE LIMITED, FLAB INTERNATIONAL PRIVATE LIMITED PLOT NO. 357 E, PACE CITY-2, SEC-37, GURGAON - 122001 (HARYANA) INDIA 91- 9873326777",NA
Gear Bounce 27 Ltrs Water Resistant School Bag/Backpack/College Bag for Men/Women-Grey Orange,B097KCLF5F,"Gear, Gear Merchandise Pvt Ltd, E/12 West Chowbaga Gulshan Colony, Kolkata-700100","Gear bags are designed for the quick commute as well for the long journey. These backpacks can be used as laptop bags, adventure bags and so on. Your favorite travel companion, the backpacks come with enough storage space to carry all your requirements."
"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",B0C2D4KWQ6,"‎Tabelito Trade India, ‎Tabelito Trade India, Tabelito Trade India, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala), Contact : +919958166528","Decent BACKPACK: The Tabelito Backpack / Daypack is made of HIGH QUALITY Anti Scratch Fabric with a sturdy zipper design, making it incredibly sturdy, tear-resistant, and capable of protecting your items from dust, rain, and filth. Even more robust and long-lasting are the strong buckle and zipper. LARGE CAPACITY & MULTI COMPARTMENTS & LIGHT WEIGHT: The backpack has three compartments. There is ample storage for clothes, books, a lunchbox, daily needs, and tech equipment accessories in the separate laptop compartment that fits a 15.6-inch laptop as well as a 15-inch, 14-inch, and 13-inch or Mac book. The middle compartment has enough capacity for a laptop charger, an iPad, a tablet, a smartphone, a document file, and other necessary accessories. There are two small elastic mesh side pockets for water bottles and a front compartment with zipper pockets for easy access items like a mask, wallet, metro card, and wallet. Make your goods more accessible and organised. HIGH QUALITY MATERIAL: The metal zippers on our backpack are made of high-quality, water-resistant Polyester fabric. Lightweight and strong build guarantee daily use that is safe and durable. Perfect for shopping, office work, business travel, weekend trips, and other outdoor activities. It is also the ideal backpack for teens, boys, girls, adults, and other genders."
"Amazon Basics Sling Bag/Crossbody Bag with Adjustable Strap for Daily and Travel Use, Durable, Water-Resistant, Travel-Friendly (Unisex, Blue)", B0C3RC1ZG2 ,"‎IRIS TECH, IRIS TECH,G-1/G-2, Dharam complex, Phase-1, Opp.Sapna Bar, Anjur Mankoli Road, Bhiwandi-421302","Carry your daily essentials comfortably with this stylish sling bag from Amazon Basics. It contains one main compartment and three zippered pockets to safely store your belongings. It is made from premium, durable, water-resistant nylon, and comes with an adjustable strap and a strong, anti-scratch buckle. This sturdy, lightweight sling bag fits easily into a suitcase or luggage bag, making it the perfect travel accessory and a great gift for your loved ones."
Kuber Industries Rexine Jumbo Attachi Travel Blanket Cover|Travel Duffle|Storage Carrying Bag|Travel Multi-Purpose Bag|Size 58 x 48 x 34 CM (Grey) CTKTC034726, B083J6774T ,‎Kuber industries,"Multipurpose:You can use it when shopping, home organizing, travelling, storage,etc. Save your time and space with big capacity. Can attach on the draw bar of suitcase, luggage etc. . Durable Material, High Quality: Made of high quality Rexine Material, soft and smoothly touching feelings;high quality zippers. High workmanship and quality control. Durable and Fashionable. . Convenient Human Design:Spacious capacity,lightweight and foldable with one additional small zipper pocket. Convenient for your travelling around and organize all your clothes, socks, Toiletry makeups,etc. . Luggage Handle through This Bag's Pocket:This Cabin Approved Flight Bag can be fixed stably on your suitcase or luggage handle when you are travelling outside and Unfold at the airport to avoid extra baggage charges."
Storite Stylish Padded Small Nylon Sling Cross Body Travel Office Business Messenger One Side Shoulder Bag for Men Women (25x16x7.5cm) (Dark Grey),B07PFF4RYC,SaiTech IT Private Limited,NA
Murano Louis 10ltr Casual daybackpack/Office & Travel Bag/School Bag/College Bag/Men/Women/Girl/Boy (Orange), B0BX9FLPNX ,"‎Avon Lifestyle Pvt Ltd, Customer Care Email : customercare@avonlifestyle.com, Customer Care Contact : 9321366003",NA
